Time 2022-04-17 16:13:41.934302  Request Type: GET 
Time 2022-04-17 16:16:20.262722  Request Type: GET 
Time 2022-04-17 16:16:21.908950  Request Type: GET 
Time 2022-04-17 16:16:22.716968  Request Type: GET 
Time 2022-04-17 16:16:23.216302  Request Type: GET 
Time 2022-04-17 16:18:58.177082  Request Type: GET 
Time 2022-04-17 16:18:59.264428  Request Type: GET 
Time 2022-04-17 16:19:00.144597  Request Type: GET 
Time 2022-04-17 16:19:01.256544  Request Type: GET 
Time 2022-04-17 16:19:17.973673  Request Type: POST Request Body: {'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [0.0, 0.0]}, 'properties': {}}
Time 2022-04-17 16:19:24.806398  Request Type: POST Request Body: {'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [0.0, 0.0]}, 'properties': {}}
Time 2022-04-17 16:20:22.403632  Request Type: POST Request Body: {'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [0.0, 0.0]}, 'properties': {}}
